,comment_num,url,comment,comment_time
0,9,https://everytime.kr/370454/v/288033600,"자취준비 필요한거 공유함,생각나는거 더 추가해주셈,저장 감사합니다,삭제된 댓글입니다.,가서 사면 내 돈임 ㅠ..ㅋㅋㅋㅋㅋ,선인장은 오ㅑ 가져가는겨,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ내친구임 ㅠ,삭제된 댓글입니다.,히히 조아,와... 야무지게 챙겨가네 ㅋㅋㅋㅋㅋ,와 너 j 80% 나옴...? 대박,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ숨겨놓은 담배,비흡연자인데 친구가 준거ㅋㅋㅋ",02/20 13:11
1,8,https://everytime.kr/375518/v/47465082," ,#카페엘가 #Lga #티라미수와플 #와플

여기 사람 없는 게 너무 안타까웠어요 ㅠㅠㅠ
카페 공간도 엄청 넓고 메뉴도 다양하고 인테리어소품들도 진짜 이쁜 거 많거든요. 심지어 맛있음..♡

배터리가 없어서 더 사진을 못찍었지만 재방문의사 100입니다♥
후문 씨유 옆 2층이에요!!!,헐와플ㅠㅠㅠ,옛날 카페베네 그 카라멜끼 그득하던 존맛탱와플까진 아니지만 맛있어요!! 하지만 밑댓보고 의심스러워짐,여기 바선생님 출몰지역이라는 소리를 들었습니다. 바 ㅋ 바 ㅋ...,네.....? 뭐라구요....? ㅠㅠㅠ;;; 악 와플 거의 다먹어가는데.. 실화에요..?,아이고 와플은무해할거에요~ 저도가끔씩가용 밑에 다닌다는 소리를 들었을뿐입니다!,흑흑 바선생님...당신은 대체... 이문동에 몇마리가 계실까요...,얼마에욤?,여기는 메론빙수가 갑인데...",18/06/27 16:12
2,0,https://everytime.kr/375134/v/37637889,"인테리어 디자인과 시공을 직접? 대학연합 인테리어 학회 아키엠 겨울방학 신입모집!,지원대상
인테리어를 좋아하는 대학생이라면 누구나 가능

ACTIVITY
1. 대학생 자치공간 무료 인테리어
아키엠은 14개의 건축사무소, 15곳의 시공회사 40명의 예술가 디자이너와 함께하고 있습니다
인테리어 디자인이 건축과 실내디자인에 한정되지 않도록 다양한 분야의 디자이너,예술가와 협업합니다

[2017 PROJECT]

ARCHM UNIV 고려대 70개 동아리방과방 인테리어/ 28개대학 자치공간인테리어/ 파이빌카페테라스인테리어/ 국제관밴치디자인/ 와인동아리소믈리에인테리어/ 고려대축제공간디자인/ 아키엠작업실인테리어/

ARCHM PROFESSIONAL 00백화점 70평 지하푸드코트/ 뷰티 프랜차이즈 피부관리샵/ 클럽벽 디자인/ 인테리어소품디자인/ 프랜차이즈다수/ 고려대촌장오피스인테리어/ 맞춤가구디자인/

동아리방 인테리어 동국대 국제통상 / 서울대 아이섹 / 고려대 전기전자 / 연세대 축협 / 외대 이란어과 / 연세대 극예술

2. 디자인교육(자체수업/ 작가수업)

서울수도권 40개 대학교 학생들과 함께하고있으며 인테리어와 디자인에 관심있는 대학생들을 대상으로 스터디를 진행하고 다양한 신인디자이너 및 예술가들과 학생과의 협업을 통해 프로젝트를 완성해갑니다
직접 인테리어에 참여함과 동시에 자신만의 작품을 만들어가면서 새로운 변화를 직접 체험하게 됩니다

3. 디자인 스튜디오

전문적인 디자인 과정을 배우고 싶다면 스튜디오를 신청하여 건축가와 인테리어디자이너에게 직접 디자인 프로세스에 대해서 배울 수 있습니다

서류신청기간:
2018/2/12~2018/3/3(토) 자정까지 1차 지원마감 후 면접시간 공지
면접: 2018/3/4(일) ~ 3/6(화)
최종합격자발표 & 3/6 면접 후 공지
OT 2018/03/07 (수) 저녁7시30분

MT 2018/03/10(토) ~ 2018/03/11(일)

지원서 바로가기

http://naver.me/FyW4qYwB

Facebook 아키엠 인테리어
페이지좋아요 및 지원서 공유하기(전체공개)

https://www.facebook.com/archmdesigner/posts/535424826825691",18/02/18 22:34
3,2,https://everytime.kr/374012/v/284130888,"챌린지 B동,윗집인지 옆집인지 아랫집인지
ㅈㄴ 드르륵거리고 소란스러운데
혹시 머 셀프인테리어 공사 하시나요?? 시끄러워여,아니 지금은 또 겁나 쿵쿵거리시네
혹시 머 전쟁중이세요?? 하ㅜ,삭제된 댓글입니다.,소음 나는데 이딴 드립 쳐 치면 진짜 개꼴보기 싫을듯 ㄹㅇㅋㅋ",01/25 17:53
4,3,https://everytime.kr/370454/v/221155100,"셀프인테리어 현황,역순으로 1짤이 최근입니다
ㅋㅋ뿌듯,빵댕이가 튼실해보이네요,오 ㅋㅋ 와 근데 저거 부술때 재밌었겠다,저게 제일힘들...",21/12/07 13:54
5,2,https://everytime.kr/370454/v/221125181,"샷시 셀프시공 가능?,저기있는 작은창
셀프인테리어 중인데
여기서 걸리네...
견적 85만원나와서 ㅜㅜ,존나 대단하다 니,고마워 ㅎㅎ...근데 창문어카지 ㅜㅜ",21/12/07 10:12
6,3,https://everytime.kr/370454/v/219924318,"셀프인테리어중..,개힘들다,와이라노,화이팅👍,거마워",21/11/28 17:21
7,1,https://everytime.kr/370454/v/160419661,"셀프인테리어할때 보통 점심 어케먹음,그냥 짜장면시켜먹나??
저번엔 김밥 포장해서 가져가고 라면포트 가져가서 라면 먹었는데,기분도 낼겸 짜장 ㄱ",21/01/04 02:49
8,2,https://everytime.kr/375133/v/160081521," ,오늘 요약
김밥 반줄 먹고 4시까지 셀프인테리어하고
집오는길 너무 막혔고
푸라닭먹고 라면먹고 우유목욕하고 가요대제전 보다가
네이버나우 슬케파 듣다가 인투디언논 틀고 탄산수랑 아이스크림 먹음,알차게 한해 잘 마무리했다,푸라닭 뭐먹었어 근본이네",21/01/01 00:24
9,0,https://everytime.kr/370454/v/61901107,"공구 대여 해주는 곳 있나여?,드릴 몽키스패너 망치등,, 셀프인테리어 중인데 필요해여 흑흑",19/01/24 14:02
